"id","title","radar","portfolio","default_set","created_at","updated_at","category_id"
"3","XPL","2","1","t","3/2/2021 07:32:16.189221","3/2/2021 07:32:16.189221","20"
"4","Python","3","2","t","3/2/2021 07:32:16.192765","3/2/2021 07:32:16.192765","10"
"5","SP/k","3","1","f","3/2/2021 07:32:16.196206","3/2/2021 07:32:16.196206","18"
"6","WebQL","3","1","t","3/2/2021 07:32:16.199605","3/2/2021 07:32:16.199605","3"
"14","Pharo","3","1","t","3/2/2021 07:32:16.226312","3/2/2021 07:32:16.226312","6"
"15","Erlang","2","1","t","3/2/2021 07:32:16.229625","3/2/2021 07:32:16.229625","22"
"17","Snap!","0","1","t","3/2/2021 07:32:16.236286","3/2/2021 07:32:16.236286","15"
"28","ReactJS","3","1",,"25/2/2021 08:51:52.256515","25/2/2021 11:46:11.278846","7"
"29","React Native","3","1",,"25/2/2021 08:52:09.62256","25/2/2021 11:46:14.615874","7"
"7","Angular JS","2","2","f","3/2/2021 07:32:16.202992","23/2/2021 10:53:11.413396","9"
"20","C#","1","1","t","3/2/2021 07:32:16.24621","23/2/2021 10:57:12.292584","9"
"12","Oracle","2","2","f","3/2/2021 07:32:16.219704","23/2/2021 10:58:41.07882","11"
"1","UI/UX designer","2","2","f","3/2/2021 07:32:16.181683","25/2/2021 08:43:12.998738","2"
"30","Birth Report","3","1",,"25/2/2021 08:57:24.681444","25/2/2021 08:57:24.681444","5"
"31","IReport","3","1",,"25/2/2021 08:57:36.793669","25/2/2021 08:57:36.793669","5"
"41","MySQL","3","1",,"25/2/2021 09:03:06.031404","25/2/2021 09:03:06.031404","11"
"42","MariaDB","3","1",,"25/2/2021 09:03:17.572553","25/2/2021 09:03:17.572553","11"
"43","TimescaleDB","3","1",,"25/2/2021 09:03:33.192776","25/2/2021 09:03:33.192776","11"
"44","PostgreSQL","3","1",,"25/2/2021 09:03:51.994445","25/2/2021 09:03:51.994445","11"
"45","Kafka","3","1",,"25/2/2021 09:09:17.992367","25/2/2021 09:09:17.992367","10"
"46","MQTT","3","1",,"25/2/2021 09:09:29.589001","25/2/2021 09:09:29.589001","10"
"47","RabitMQ","3","1",,"25/2/2021 09:09:51.345397","25/2/2021 09:09:51.345397","10"
"48","Spring MVC","3","1",,"25/2/2021 09:10:17.085084","25/2/2021 09:10:17.085084","5"
"49","Spring boot","3","1",,"25/2/2021 09:10:33.072024","25/2/2021 09:10:33.072024","5"
"50","Spring Security","3","1",,"25/2/2021 09:10:44.60931","25/2/2021 09:10:44.60931","5"
"51","Spring Cloud","3","1",,"25/2/2021 09:10:56.009675","25/2/2021 09:10:56.009675","5"
